task,modality_group,feature,source,declared_dtype,shape,files,frames_or_rows,count_source,fps,bytes,bytes_human,details
430_clamp_seal_lerobot,vision_video,observation.images.wrist,video_files,video,"[480, 640, 3]",5,34746,ffprobe_count_frames,"{""24.0"": 5}",1020039084,972.8 MiB,"{""duration_s"": 1447.7499990000001, ""errors"": [], ""probe"": {""codec_values"": {""h264"": 5}, ""fps_values"": {""24.0"": 5}, ""height_values"": {""480"": 5}, ""pix_fmt_values"": {""yuv420p"": 5}, ""width_values"": {""640"": 5}}}"
430_clamp_seal_lerobot,tactile_video,observation.tactiles.left,video_files,video,"[224, 224, 3]",1,34746,ffprobe_count_frames,"{""24.0"": 1}",100568262,95.9 MiB,"{""duration_s"": 1447.75, ""errors"": [], ""probe"": {""codec_values"": {""h264"": 1}, ""fps_values"": {""24.0"": 1}, ""height_values"": {""224"": 1}, ""pix_fmt_values"": {""yuv420p"": 1}, ""width_values"": {""224"": 1}}}"
430_clamp_seal_lerobot,tactile_video,observation.tactiles.right,video_files,video,"[224, 224, 3]",1,34746,ffprobe_count_frames,"{""24.0"": 1}",81794566,78.0 MiB,"{""duration_s"": 1447.75, ""errors"": [], ""probe"": {""codec_values"": {""h264"": 1}, ""fps_values"": {""24.0"": 1}, ""height_values"": {""224"": 1}, ""pix_fmt_values"": {""yuv420p"": 1}, ""width_values"": {""224"": 1}}}"
430_clamp_seal_lerobot,latent,observation.images.wrist,latent_files,pth,,230,34746,filename_span_end_minus_start,24,1234735614,1.1 GiB,"{""episode_segments"": 230, ""inspected_files"": 1, ""inspected_numel"": 3203072, ""tensor_samples"": [{""dtype"": ""torch.bfloat16"", ""file"": ""episode_000000_0_286.pth"", ""name"": ""latent"", ""numel"": 1105920, ""shape"": [23040, 48], ""type"": ""Tensor""}, {""dtype"": null, ""file"": ""episode_000000_0_286.pth"", ""name"": ""latent_num_frames"", ""numel"": null, ""shape"": null, ""type"": ""int""}, {""dtype"": null, ""file"": ""episode_000000_0_286.pth"", ""name"": ""latent_height"", ""numel"": null, ""shape"": null, ""type"": ""int""}, {""dtype"": null, ""file"": ""episode_000000_0_286.pth"", ""name"": ""latent_width"", ""numel"": null, ""shape"": null, ""type"": ""int""}, {""dtype"": null, ""file"": ""episode_000000_0_286.pth"", ""name"": ""video_num_frames"", ""numel"": null, ""shape"": null, ""type"": ""int""}, {""dtype"": null, ""file"": ""episode_000000_0_286.pth"", ""name"": ""video_height"", ""numel"": null, ""shape"": null, ""type"": ""int""}, {""dtype"": null, ""file"": ""episode_000000_0_286.pth"", ""name"": ""video_width"", ""numel"": null, ""shape"": null, ""type"": ""int""}, {""dtype"": ""torch.bfloat16"", ""file"": ""episode_000000_0_286.pth"", ""name"": ""text_emb"", ""numel"": 2097152, ""shape"": [512, 4096], ""type"": ""Tensor""}, {""dtype"": null, ""file"": ""episode_000000_0_286.pth"", ""name"": ""text"", ""numel"": null, ""shape"": null, ""type"": ""str""}, {""dtype"": null, ""file"": ""episode_000000_0_286.pth"", ""name"": ""frame_ids[0]"", ""numel"": null, ""shape"": null, ""type"": ""int""}, {""dtype"": null, ""file"": ""episode_000000_0_286.pth"", ""name"": ""frame_ids[1]"", ""numel"": null, ""shape"": null, ""type"": ""int""}, {""dtype"": null, ""file"": ""episode_000000_0_286.pth"", ""name"": ""frame_ids[2]"", ""numel"": null, ""shape"": null, ""type"": ""int""}, {""dtype"": null, ""file"": ""episode_000000_0_286.pth"", ""name"": ""frame_ids[3]"", ""numel"": null, ""shape"": null, ""type"": ""int""}, {""dtype"": null, ""file"": ""episode_000000_0_286.pth"", ""name"": ""frame_ids[4]"", ""numel"": null, ""shape"": null, ""type"": ""int""}, {""dtype"": null, ""file"": ""episode_000000_0_286.pth"", ""name"": ""frame_ids[5]"", ""numel"": null, ""shape"": null, ""type"": ""int""}, {""dtype"": null, ""file"": ""episode_000000_0_286.pth"", ""name"": ""frame_ids[6]"", ""numel"": null, ""shape"": null, ""type"": ""int""}, {""dtype"": null, ""file"": ""episode_000000_0_286.pth"", ""name"": ""frame_ids[7]"", ""numel"": null, ""shape"": null, ""type"": ""int""}, {""dtype"": null, ""file"": ""episode_000000_0_286.pth"", ""name"": ""frame_ids[8]"", ""numel"": null, ""shape"": null, ""type"": ""int""}, {""dtype"": null, ""file"": ""episode_000000_0_286.pth"", ""name"": ""frame_ids[9]"", ""numel"": null, ""shape"": null, ""type"": ""int""}, {""dtype"": null, ""file"": ""episode_000000_0_286.pth"", ""name"": ""frame_ids[10]"", ""numel"": null, ""shape"": null, ""type"": ""int""}]}"
430_towel_hanging_lerobot,pose,start_pose,info,float32,[6],,33310,declared_expected,24,,,
430_towel_hanging_lerobot,pose,end_pose,info,float32,[6],,33310,declared_expected,24,,,
430_towel_hanging_lerobot,action,action,info,float32,[10],,33310,declared_expected,24,,,
430_towel_hanging_lerobot,state,observation.state,info,float32,[10],,33310,declared_expected,24,,,
430_towel_hanging_lerobot,state,observation.state_phone,info,float32,[6],,33310,declared_expected,24,,,
430_towel_hanging_lerobot,vision_video,observation.images.wrist,info,video,"[480, 640, 3]",,33310,declared_expected,24,,,"{""has_audio"": false, ""video.channels"": 3, ""video.codec"": ""h264"", ""video.fps"": 24, ""video.height"": 480, ""video.is_depth_map"": false, ""video.pix_fmt"": ""yuv420p"", ""video.width"": 640}"
